origin,destination,hr,km
Africa:Guinea:Boke:Boffa,Africa:Guinea:Boke:Boke,,105.32500629274824
Africa:Guinea:Boke:Boffa,Africa:Guinea:Boke:Fria,,73.00118798695775
Africa:Guinea:Boke:Boffa,Africa:Guinea:Boke:Gaoual,,204.31196509119366
Africa:Guinea:Boke:Boffa,Africa:Guinea:Boke:Koundara,,267.66620409645
Africa:Guinea:Boke:Boffa,Africa:Guinea:Conakry:Conakry,,79.30596095177994
Africa:Guinea:Boke:Boffa,Africa:Guinea:Faranah:Dabola,,354.23754998576334
Africa:Guinea:Boke:Boffa,Africa:Guinea:Faranah:Dinguiraye,,424.7678327313181
Africa:Guinea:Boke:Boffa,Africa:Guinea:Faranah:Faranah,,375.4308278728018
Africa:Guinea:Boke:Boffa,Africa:Guinea:Faranah:Kissidougou,,456.04992574352326
Africa:Guinea:Boke:Boffa,Africa:Guinea:Kankan:Kankan,,561.9641909428614
Africa:Guinea:Boke:Boffa,Africa:Guinea:Kankan:Kerouane,,549.2027755306713
Africa:Guinea:Boke:Boffa,Africa:Guinea:Kankan:Kouroussa,,437.8493057189173
Africa:Guinea:Boke:Boffa,Africa:Guinea:Kankan:Mandiana,,618.0919125508262
Africa:Guinea:Boke:Boffa,Africa:Guinea:Kankan:Siguiri,,548.5776523289077
Africa:Guinea:Boke:Boffa,Africa:Guinea:Kindia:Coyah,,83.36418720334497
Africa:Guinea:Boke:Boffa,Africa:Guinea:Kindia:Dubreka,,58.10861218562334
Africa:Guinea:Boke:Boffa,Africa:Guinea:Kindia:Forecariah,,128.13092837812079
Africa:Guinea:Boke:Boffa,Africa:Guinea:Kindia:Kindia,,159.36934188578277
Africa:Guinea:Boke:Boffa,Africa:Guinea:Kindia:Telimele,,119.45153458956901
Africa:Guinea:Boke:Boffa,Africa:Guinea:Labe:Koubia,,331.1676718077862
Africa:Guinea:Boke:Boffa,Africa:Guinea:Labe:Labe,,239.40669261251102
Africa:Guinea:Boke:Boffa,Africa:Guinea:Labe:Lelouma,,218.46424678989015
Africa:Guinea:Boke:Boffa,Africa:Guinea:Labe:Mali,,328.028298624952
Africa:Guinea:Boke:Boffa,Africa:Guinea:Labe:Tougue,,333.58353466737
Africa:Guinea:Boke:Boffa,Africa:Guinea:Mamou:Dalaba,,231.04850951929618
Africa:Guinea:Boke:Boffa,Africa:Guinea:Mamou:Mamou,,256.2247114798105
Africa:Guinea:Boke:Boffa,Africa:Guinea:Mamou:Pita,,189.25162765436554
Africa:Guinea:Boke:Boffa,Africa:Guinea:Nzerekore:Beyla,,668.5182069710401
Africa:Guinea:Boke:Boffa,Africa:Guinea:Nzerekore:Gueckedou,,441.2691973376901
Africa:Guinea:Boke:Boffa,Africa:Guinea:Nzerekore:Lola,,683.7447789381932
Africa:Guinea:Boke:Boffa,Africa:Guinea:Nzerekore:Macenta,,549.158755672953
Africa:Guinea:Boke:Boffa,Africa:Guinea:Nzerekore:Nzerekore,,634.4508270268726
Africa:Guinea:Boke:Boffa,Africa:Guinea:Nzerekore:Yamou,,621.134219167833
