origin,destination,hr,km
Africa:Guinea:Boke:Boffa,Africa:Guinea:Boke:Boke,2.230277778,157.782
Africa:Guinea:Boke:Boffa,Africa:Guinea:Boke:Fria,1.453611111,77.031
Africa:Guinea:Boke:Boffa,Africa:Guinea:Boke:Gaoual,4.224444444,309.169
Africa:Guinea:Boke:Boffa,Africa:Guinea:Boke:Koundara,5.802222222,421.397
Africa:Guinea:Boke:Boffa,Africa:Guinea:Conakry:Conakry,2.211666667,152.39
Africa:Guinea:Boke:Boffa,Africa:Guinea:Faranah:Dabola,6.976388889,500.602
Africa:Guinea:Boke:Boffa,Africa:Guinea:Faranah:Dinguiraye,8.407222222,572.336
Africa:Guinea:Boke:Boffa,Africa:Guinea:Faranah:Faranah,7.510833333,539.377
Africa:Guinea:Boke:Boffa,Africa:Guinea:Faranah:Kissidougou,9.276666667,676.573
Africa:Guinea:Boke:Boffa,Africa:Guinea:Kankan:Kankan,10.73,787.597
Africa:Guinea:Boke:Boffa,Africa:Guinea:Kankan:Kerouane,11.30166667,832.836
Africa:Guinea:Boke:Boffa,Africa:Guinea:Kankan:Kouroussa,9.043055556,660.796
Africa:Guinea:Boke:Boffa,Africa:Guinea:Kankan:Mandiana,11.50222222,837.119
Africa:Guinea:Boke:Boffa,Africa:Guinea:Kankan:Siguiri,11.13583333,817.108
Africa:Guinea:Boke:Boffa,Africa:Guinea:Kindia:Coyah,1.961388889,135.7
Africa:Guinea:Boke:Boffa,Africa:Guinea:Kindia:Dubreka,1.638888889,110.741
Africa:Guinea:Boke:Boffa,Africa:Guinea:Kindia:Forecariah,2.631944444,184.607
Africa:Guinea:Boke:Boffa,Africa:Guinea:Kindia:Kindia,3.114166667,221.91
Africa:Guinea:Boke:Boffa,Africa:Guinea:Kindia:Telimele,2.874444444,182.492
Africa:Guinea:Boke:Boffa,Africa:Guinea:Labe:Koubia,6.605833333,388.559
Africa:Guinea:Boke:Boffa,Africa:Guinea:Labe:Labe,7.046111111,411.721
Africa:Guinea:Boke:Boffa,Africa:Guinea:Labe:Lelouma,4.635833333,284.728
Africa:Guinea:Boke:Boffa,Africa:Guinea:Labe:Mali,7.220277778,449.184
Africa:Guinea:Boke:Boffa,Africa:Guinea:Labe:Tougue,7.067222222,415.584
Africa:Guinea:Boke:Boffa,Africa:Guinea:Mamou:Mamou,5.558333333,394.886
Africa:Guinea:Boke:Boffa,Africa:Guinea:Mamou:Pita,5.376666667,286.372
Africa:Guinea:Boke:Boffa,Africa:Guinea:Nzerekore:Beyla,12.74888889,939.885
Africa:Guinea:Boke:Boffa,Africa:Guinea:Nzerekore:Gueckedou,10.36305556,757.716
Africa:Guinea:Boke:Boffa,Africa:Guinea:Nzerekore:Lola,13.4425,981.297
Africa:Guinea:Boke:Boffa,Africa:Guinea:Nzerekore:Macenta,11.11638889,808.886
Africa:Guinea:Boke:Boffa,Africa:Guinea:Nzerekore:Nzerekore,12.94166667,943.419
Africa:Guinea:Boke:Boffa,Africa:Guinea:Nzerekore:Yamou,13.67166667,983.496
Africa:Guinea:Boke:Boffa,Africa:Sierra Leone:Eastern:Kailahun,9.113333333,678.926
Africa:Guinea:Boke:Boffa,Africa:Sierra Leone:Eastern:Kenema,7.561111111,554.873
Africa:Guinea:Boke:Boffa,Africa:Sierra Leone:Eastern:Kono,7.546944444,551.66
Africa:Guinea:Boke:Boffa,Africa:Sierra Leone:Northern:Bombali,5.621388889,377.226
Africa:Guinea:Boke:Boffa,Africa:Sierra Leone:Northern:Kambia,3.333055556,230.253
Africa:Guinea:Boke:Boffa,Africa:Sierra Leone:Northern:Koinadugu,6.542222222,490.534
Africa:Guinea:Boke:Boffa,Africa:Sierra Leone:Northern:Port Loko,3.981388889,274.689
Africa:Guinea:Boke:Boffa,Africa:Sierra Leone:Northern:Tonkolili,6.055833333,435.381
Africa:Guinea:Boke:Boffa,Africa:Sierra Leone:Southern:Bo,6.665,488.109
Africa:Guinea:Boke:Boffa,Africa:Sierra Leone:Southern:Bonthe,7.35,528.048
Africa:Guinea:Boke:Boffa,Africa:Sierra Leone:Southern:Moyamba,5.596111111,405.668
Africa:Guinea:Boke:Boffa,Africa:Sierra Leone:Southern:Pujehun,7.661111111,561.967
Africa:Guinea:Boke:Boffa,Africa:Sierra Leone:Western:Western Rural,5.0525,365.63
Africa:Guinea:Boke:Boffa,Africa:Sierra Leone:Western:Western Urban,5.505,394.104
Africa:Guinea:Boke:Boffa,Africa:Liberia:Bomi,9.797777778,727.067
Africa:Guinea:Boke:Boffa,Africa:Liberia:Bong,14.5425,1048.986
