district,pop
Bomi,119574.6162
Bong,429143.1812
Gbarpolu,81700.03132
Grand Bassa,324531.0004
Grand Cape Mount,146530.478
Grand Gedeh,246584.7356
Lofa,327773.4286
Margibi,110699.7005
Maryland,213491.49
Montserrado,1504285.944
Nimba,531089.0254
River Gee,91414.65407
Rivercess,79546.53988
Sinoe,94781.87205
