dot_name,ansii_name,hid_level,hierarchy_name_id,parentid,hierarchy_name_set_id,shape_id,shape_set_id,shape_class,valid_from,valid_to,raster_notes,st_stats_sum_population
Africa:Liberia:Margibi:Gibi,GIBI,5,28047,993,1,28045,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,24621.90912
Africa:Liberia:Margibi:Kakata,KAKATA,5,28049,993,1,28047,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,93997.81669
Africa:Liberia:Margibi:Mambah-Kaba,MAMBAH KABA,5,28063,993,1,28061,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,122785.735
Africa:Liberia:Maryland:Barrobo,BARROBO,5,28050,994,1,28048,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,32620.91252
Africa:Liberia:Maryland:Pleebo/Sodeken,PLEEBO/SODEKEN,5,28064,994,1,28062,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,96794.14695
Africa:Liberia:Montserrado:Careysburg,CAREYSBURG,5,28052,995,1,28050,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,18774.84526
Africa:Liberia:Montserrado:Greater Monrovia,GREATER MONROVIA,5,28065,995,1,28063,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,844561.9879
Africa:Liberia:Montserrado:St Paul River,ST PAUL RIVER,5,28068,995,1,28066,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,181400.1832
Africa:Liberia:Montserrado:Todee,TODEE,5,28055,995,1,28053,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,72483.82847
Africa:Liberia:Nimba:Gbehlageh,GBEHLAGEH,5,28069,2994,1,28067,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,91715.65884
Africa:Liberia:Nimba:Saclepea,SACLEPEA,5,28070,2994,1,28068,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,121775.2123
Africa:Liberia:Nimba:Sanniquelleh-Mahn,SANNIQUELLEH MAHN,5,28075,2994,1,28073,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,120769.0365
Africa:Liberia:Nimba:Tappita,TAPPITA,5,28076,2994,1,28074,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,85856.18
Africa:Liberia:Nimba:Yarwein-Mehnsohnne,YARWEIN MEHNSOHNNE,5,28056,2994,1,28054,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,32099.93485
Africa:Liberia:Nimba:Zoegeh,ZOEGEH,5,28077,2994,1,28075,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,83531.56946
Africa:Liberia:River Cess:Morweh,MORWEH,5,28078,2995,1,28076,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,25961.5654
Africa:Liberia:River Cess:Timbo,TIMBO,5,28043,2995,1,28041,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,53506.79921
Africa:Liberia:River Gee:Gbeapo,GBEAPO,5,28079,996,1,28077,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,60719.7423
Africa:Liberia:River Gee:Webbo,WEBBO,5,28084,996,1,28082,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,28995.34777
Africa:Liberia:Sinoe:Butaw,BUTAW,5,28080,2996,1,28078,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,19362.3281
Africa:Liberia:Sinoe:Dugbe River,DUGBE RIVER,5,28081,2996,1,28079,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,5615.823697
Africa:Liberia:Sinoe:Greenville,GREENVILLE,5,28082,2996,1,28080,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,16500.38201
Africa:Liberia:Sinoe:Jaedae Jaedepo,JADA JADEPO,5,28083,2996,1,28081,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,22271.9381
Africa:Liberia:Sinoe:Juarzon,JUARZON,5,28044,2996,1,28042,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,24333.00132
Africa:Liberia:Sinoe:Kpayan,KPAYAN,5,28087,2996,1,28085,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,10714.89995
Africa:Liberia:Sinoe:Pyneston,PYNESTON,5,10847,2996,1,10844,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,9950.693441
Africa:LIBERIA,LIBERIA,3,251276,251099,6,1952676,8,3,1/1/2000,12/31/9999,afripop_30_2010_adj summary 20140714,3899911.187
Africa:LIBERIA:BONG,BONG,4,252790,251276,6,1954218,8,3,1/1/2000,12/31/9999,afripop_30_2010_adj summary 20140714,429143.1812
Africa:LIBERIA:GBARPOLU,GBARPOLU,4,252805,251276,6,1954233,8,3,1/1/2000,12/31/9999,afripop_30_2010_adj summary 20140714,81700.03132
Africa:LIBERIA:GRAND BASSA,GRAND BASSA,4,252796,251276,6,1954224,8,3,1/1/2000,12/31/9999,afripop_30_2010_adj summary 20140714,324531.0004
Africa:LIBERIA:GRAND CAPE MOUNT,GRAND CAPE MOUNT,4,252798,251276,6,1954226,8,3,1/1/2000,12/31/9999,afripop_30_2010_adj summary 20140714,146530.478
Africa:LIBERIA:GRAND GEDEH,GRAND GEDEH,4,252794,251276,6,1954222,8,3,1/1/2000,12/31/9999,afripop_30_2010_adj summary 20140714,246584.7356
Africa:LIBERIA:LOFA,LOFA,4,252792,251276,6,1954220,8,3,1/1/2000,12/31/9999,afripop_30_2010_adj summary 20140714,327773.4286
Africa:LIBERIA:MARYILAND,MARYILAND,4,252791,251276,6,1954219,8,3,1/1/2000,12/31/9999,afripop_30_2010_adj summary 20140714,213491.49
Africa:LIBERIA:MONTSERRADO,MONTSERRADO,4,252799,251276,6,1954227,8,3,1/1/2000,12/31/9999,afripop_30_2010_adj summary 20140714,1504285.944
Africa:LIBERIA:NIMBA,NIMBA,4,252803,251276,6,1954231,8,3,1/1/2000,12/31/9999,afripop_30_2010_adj summary 20140714,531089.0254
Africa:LIBERIA:SINOE,SINOE,4,252797,251276,6,1954225,8,3,1/1/2000,12/31/9999,afripop_30_2010_adj summary 20140714,94781.87205
Africa:LIBERIA:BONG:BONG,BONG,5,275326,252790,6,1976900,8,3,1/1/2000,12/31/9999,afripop_30_2010_adj summary 20140714,429143.1812
Africa:LIBERIA:GBARPOLU:GBARPOLU,GBARPOLU,5,275329,252805,6,1976903,8,3,1/1/2000,12/31/9999,afripop_30_2010_adj summary 20140714,81700.03132
Africa:LIBERIA:GRAND BASSA:GRAND BASSA,GRAND BASSA,5,275335,252796,6,1976909,8,3,1/1/2000,12/31/9999,afripop_30_2010_adj summary 20140714,244984.4606
Africa:LIBERIA:GRAND BASSA:RIVERCESS,RIVERCESS,5,275333,252796,6,1976907,8,3,1/1/2000,12/31/9999,afripop_30_2010_adj summary 20140714,79546.53988
Africa:LIBERIA:GRAND CAPE MOUNT:GRAND CAPE MOUNT,GRAND CAPE MOUNT,5,275330,252798,6,1976904,8,3,1/1/2000,12/31/9999,afripop_30_2010_adj summary 20140714,146530.478
Africa:LIBERIA:GRAND GEDEH:GRAND GEDEH,GRAND GEDEH,5,275340,252794,6,1976914,8,3,1/1/2000,12/31/9999,afripop_30_2010_adj summary 20140714,155170.0815
Africa:LIBERIA:GRAND GEDEH:RIVER GEE,RIVER GEE,5,275334,252794,6,1976908,8,3,1/1/2000,12/31/9999,afripop_30_2010_adj summary 20140714,91414.65407
Africa:LIBERIA:LOFA:LOFA,LOFA,5,275341,252792,6,1976915,8,3,1/1/2000,12/31/9999,afripop_30_2010_adj summary 20140714,327773.4286
Africa:LIBERIA:MARYILAND:GRAND KRU,GRAND KRU,5,275344,252791,6,1976918,8,3,1/1/2000,12/31/9999,afripop_30_2010_adj summary 20140714,60361.18112
Africa:LIBERIA:MARYILAND:MARYLAND,MARYLAND,5,275343,252791,6,1976917,8,3,1/1/2000,12/31/9999,afripop_30_2010_adj summary 20140714,153130.3089
Africa:LIBERIA:MONTSERRADO:BOMI,BOMI,5,275347,252799,6,1976921,8,3,1/1/2000,12/31/9999,afripop_30_2010_adj summary 20140714,119574.6162
Africa:LIBERIA:MONTSERRADO:MARGIBI,MARGIBI,5,275348,252799,6,1976922,8,3,1/1/2000,12/31/9999,afripop_30_2010_adj summary 20140714,110699.7005
Africa:LIBERIA:MONTSERRADO:MONTSERRADO,MONTSERRADO,5,275354,252799,6,1976928,8,3,1/1/2000,12/31/9999,afripop_30_2010_adj summary 20140714,1274011.628
Africa:LIBERIA:NIMBA:NIMBA,NIMBA,5,275362,252803,6,1976936,8,3,1/1/2000,12/31/9999,afripop_30_2010_adj summary 20140714,531089.0254
Africa:LIBERIA:SINOE:SINOE,SINOE,5,275365,252797,6,1976939,8,3,1/1/2000,12/31/9999,afripop_30_2010_adj summary 20140714,94781.87205
