Epi week,BOMI,BONG,GBARPOLU,GRAND BASSA,GRAND CAPE MOUNT,GRAND GEDEH,GRAND KRU,LOFA,MARGIBI,MARYLAND,MONTSERRADO,NIMBA,RIVER GEE,RIVERCESS,SINOE
2014-12-07,7.0,3.0,0.0,24.0,16.0,0.0,0.0,0.0,4.0,0.0,69.0,1.0,0.0,0.0,1.0
2014-12-14,1.0,2.0,0.0,9.0,10.0,0.0,0.0,0.0,1.0,0.0,42.0,0.0,0.0,0.0,8.0
2014-12-21,0.0,4.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,24.0,4.0,0.0,0.0,0.0
2014-12-28,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0,0.0,0.0,2.0
2015-01-04,1.0,2.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,39.0,0.0,0.0,0.0,0.0
2015-01-11,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0
2015-01-18,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0
2015-01-25,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
2015-02-01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
2015-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
2015-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0
2015-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0
2015-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2015-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
