Epi week,KAILAHUN,KENEMA,PORT LOKO,KAMBIA,BO,FREETOWN,WESTERN RURAL,KONO,KOINADUGU,TONKOLILI,BOMBALI,PUJEHUN,MOYAMBA,BONTHE
2014-12-07,0.0,0.0,76.0,10.0,14.0,133.0,57.0,24.0,2.0,13.0,57.0,0.0,10.0,1.0
2014-12-14,3.0,1.0,56.0,11.0,24.0,125.0,52.0,12.0,3.0,14.0,23.0,0.0,3.0,0.0
2014-12-21,0.0,1.0,92.0,7.0,2.0,115.0,31.0,13.0,1.0,14.0,33.0,0.0,5.0,1.0
2014-12-28,0.0,0.0,69.0,5.0,6.0,149.0,22.0,39.0,7.0,13.0,22.0,0.0,5.0,0.0
2015-01-04,0.0,1.0,41.0,6.0,3.0,93.0,50.0,32.0,5.0,3.0,3.0,0.0,11.0,0.0
2015-01-11,0.0,0.0,41.0,17.0,4.0,59.0,31.0,14.0,1.0,9.0,4.0,0.0,4.0,0.0
2015-01-18,0.0,1.0,31.0,8.0,2.0,30.0,17.0,13.0,0.0,3.0,8.0,0.0,4.0,0.0
2015-01-25,0.0,0.0,6.0,10.0,0.0,20.0,16.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0
2015-02-01,0.0,4.0,36.0,1.0,0.0,22.0,7.0,5.0,1.0,1.0,0.0,0.0,3.0,0.0
2015-02-08,0.0,0.0,28.0,11.0,0.0,19.0,8.0,5.0,0.0,0.0,3.0,0.0,2.0,0.0
2015-02-15,0.0,0.0,13.0,7.0,0.0,67.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
2015-02-22,0.0,1.0,15.0,8.0,0.0,14.0,3.0,1.0,0.0,0.0,20.0,0.0,1.0,0.0
2015-03-01,0.0,0.0,16.0,6.0,0.0,26.0,8.0,1.0,1.0,1.0,22.0,0.0,0.0,0.0
2015-03-08,0.0,0.0,12.0,7.0,0.0,27.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
