,Kailahun,Kenema,Port Loko,Kambia,Bo,Western (urban),Western (rural),Kono,Koinadugu,Tonkolili,Bombali,Pujehun,Moyamba,Bonthe
5/28/2014,27,,,,,,,,,,,,,
5/29/2014,8,,,,,,,,,,,,,
5/31/2014,6,,,,,,,,,,,,,
6/14/2014,16,,2,1,,,,,,,,,,
6/17/2014,35,,,,,,,,,,,,,
6/27/2014,81,33,,,1,,,,,,,,,
6/28/2014,1,6,,,,,,,,,,,,
7/4/2014,45,19,1,,,,,,,,,,,
7/6/2014,9,12,,,1,,,,,,1,,,
7/8/2014,6,6,,,2,,,,,,,,,
7/14/2014,35.75,38,1.75,0,3,2.25,0.25,8.75,0,0.25,1.5,0.5,0.25,0.25
7/21/2014,35.75,38,1.75,0,3,2.25,0.25,8.75,0,0.25,1.5,0.5,0.25,0.25
7/28/2014,35.75,38,1.75,0,3,2.25,0.25,8.75,0,0.25,1.5,0.5,0.25,0.25
8/4/2014,35.75,38,1.75,0,3,2.25,0.25,8.75,0,0.25,1.5,0.5,0.25,0.25
8/8/2014,24,3,6,,5,2,,,,,,1,4,
8/13/2014,9,34,9,,4,3,,,,1,2,,,
8/14/2014,11,,,,,3,,,,,,,,
8/15/2014,7,8,2,,,,2,,,,,,1,
8/18/2014,5,8,2,,,4,1,,,,,,,
8/21/2014,23,13,4,,2,2,1,,,,3,1,3,
8/23/2014,7,10,14,,7,4,6,,,8,7,1,,
8/24/2014,11,8,9,,,,,,,,,,,
8/26/2014,12,19,4,,2,6,4,,,4,3,2,,
8/30/2014,18,16,5,,5,14,11,,,1,15,,,
9/3/2014,24,32,14,,13,17,9,4,,3,9,1,,
9/4/2014,14,5,1,,,3,1,4,,2,,1,,
9/6/2014,10,10,13,,13,5,5,1,,,8,,4,
9/7/2014,,7,11,,3,4,1,3,,2,15,,2,
9/10/2014,6,14,7,,3,16,6,4,,4,6,2,1,
9/11/2014,,4,14,1,,5,4,,,1,,,,
9/12/2014,,3,13,1,9,6,,4,,4,,,,
9/13/2014,,,10,,5,8,2,,,1,9,,3,
9/15/2014,20,15,,,1,12,3,,,2,35,,,
9/16/2014,1,1,12,,,13,4,,,,,,,
9/17/2014,22,,,,2,2,1,,,3,,,,1
9/19/2014,,,20,1,5,17,6,1,,9,10,,9,
9/20/2014,,1,1,,,8,3,,,,,,9,
9/21/2014,,4,1,,,5,13,2,,,29,,9,
9/22/2014,,6,12,6,,14,8,,,12,1,3,,1
9/23/2014,,1,,,8,3,11,,,4,,,1,
9/25/2014,,2,31,3,,19,20,1,,1,28,3,13,
9/26/2014,,1,17,,,6,3,,,6,,,,
9/27/2014,,6,,,1,,,,,,16,,6,
9/28/2014,,,,,6,12,11,,,,29,,1,
9/29/2014,,2,43,2,2,15,21,,,15,6,3,,
9/30/2014,,2,27,4,,27,20,3,,5,2,,,
10/3/2014,1,10,12,4,9,33,21,5,,10,,3,11,
10/4/2014,,1,4,1,,10,8,,,,22,,,
10/5/2014,1,3,32,,11,20,14,,,,67,1,6,
10/6/2014,1,,,,6,21,25,7,,14,16,3,3,
10/7/2014,1,,2,1,2,29,26,1,,19,31,,2,
10/8/2014,,,,,3,2,,5,,,,,3,
10/10/2014,,,20,,2,7,6,,,1,19,,,
10/11/2014,,2,10,,3,21,21,,,,,,,
10/13/2014,2,16,35,3,13,28,14,4,,17,51,,7,
10/15/2014,2,28,21,,24,51,27,4,2,12,19,2,3,2
10/18/2014,8,12,10,2,9,36,35,1,,8,50,1,3,
10/19/2014,,1,9,,6,34,21,,2,4,,,5,
10/20/2014,4,7,16,,1,4,7,,5,8,26,1,1,
10/21/2014,1,3,21,3,11,8,4,,,,4,,,
10/22/2014,,6,,1,4,5,26,,,12,,1,,
10/25/2014,1,8,14,,8,51,46,6,36,24,33,1,6,
10/26/2014,,,3,,1,23,20,,5,10,,2,5,
10/28/2014,,12,46,6,9,30,17,3,6,13,44,3,5,
10/29/2014,,,,,,,,-1,,,,,,
10/31/2014,3,13,48,3,11,52,50,,,13,36,,,
11/1/2014,,1,3,7,5,18,3,,8,8,11,,1,
11/2/2014,1,1,2,,,41,18,3,,,7,,,
11/3/2014,,1,2,,3,9,13,,,3,25,,3,
11/4/2014,,,,10,5,,7,4,15,,2,,,
11/5/2014,,1,,,2,,2,,3,9,14,,21,
11/6/2014,,2,3,,,13,5,,7,12,6,,,
11/8/2014,3,,57,3,6,76,46,3,5,24,18,,19,
11/10/2014,,,85,1,7,100,38,,7,21,11,,2,
11/11/2014,,,7,3,12,38,20,1,,7,,,4,
11/12/2014,,,15,,3,31,21,,,,24,,1,1
11/13/2014,,,22,,5,23,10,10,15,13,9,,,
11/14/2014,,,15,,6,37,18,8,6,12,7,,6,
11/15/2014,,,20,,9,18,9,,1,,5,,3,1
11/16/2014,1,,13,1,4,36,26,,,7,12,,,
11/17/2014,,,22,,6,15,8,5,2,,2,,7,
11/19/2014,,,,,1,17,7,,1,11,2,2,2,
11/20/2014,,2,8,1,3,23,16,,,9,17,,2,
11/21/2014,,1,38,1,4,34,6,15,2,2,22,,4,
11/22/2014,2,,5,2,6,16,15,,,5,15,,2,2
11/23/2014,,,13,,4,31,15,,1,5,5,,1,
11/24/2014,,1,19,8,3,12,8,6,,6,,,1,
11/25/2014,,5,27,7,10,35,16,,,4,10,,1,
