,Lagos,Rivers
7/27/2014,1,
7/30/2014,2,
8/1/2014,1,
8/4/2014,5,
8/6/2014,3,
8/16/2014,2,1
8/20/2014,1,
8/26/2014,,1
9/5/2014,1,2
