district,pop
Kailahun,436704.4396
Kenema,576060.0361
Port.Loko,511977.5761
Kambia,287893.8011
Bo,530737.7406
Western..urban.,550641.4714
Western..rural.,528178.1033
Kono,455179.0556
Koinadugu,309855.6254
Tonkolili,384900.7324
Bombali,452668.1381
Pujehun,281618.161
Moyamba,319502.2495
Bonthe,148502.3842
